14:39:40.6607  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 8/31/2023 11:39:40 AM }
14:39:46.5637  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 8/31/2023 11:39:46 AM }
14:39:51.6458  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 8/31/2023 11:39:51 AM }
14:39:57.1583  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 8/31/2023 11:39:57 AM }
14:40:02.5932  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 8/31/2023 11:40:02 AM }
14:40:06.9422  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 8/31/2023 11:40:06 AM }
14:40:13.8010  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 8/31/2023 11:40:13 AM }
14:42:04.6285  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-FLCTEP, CreatedAt = 8/31/2023 11:42:04 AM }
14:42:46.7443  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-FLCTEP, CreatedAt = 8/31/2023 11:42:46 AM }
14:51:47.4336  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 8/31/2023 11:51:47 AM }
14:51:59.8274  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 8/31/2023 11:51:59 AM }
