11:33:56.8448  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:33:56 AM }
11:34:53.8656  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:34:53 AM }
11:36:16.4950  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:36:16 AM }
11:37:14.5646  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:37:14 AM }
11:37:32.7165  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:37:32 AM }
11:39:34.8690  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:39:34 AM }
11:42:08.4665  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/1/2023 8:42:08 AM }
11:42:15.6364  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/1/2023 8:42:15 AM }
11:42:20.8655  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/1/2023 8:42:20 AM }
11:44:48.5633  ERROR  LogDetails { Controller = User, Action = Register, ErrorCode = EE, CreatedAt = 9/1/2023 8:44:48 AM }
11:59:37.1093  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/1/2023 8:59:37 AM }
12:24:33.1497  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/1/2023 9:24:33 AM }
12:29:26.7196  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/1/2023 9:29:26 AM }
12:29:29.2489  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/1/2023 9:29:29 AM }
12:29:30.7881  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/1/2023 9:29:30 AM }
12:31:11.8840  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/1/2023 9:31:11 AM }
12:33:42.1509  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/1/2023 9:33:42 AM }
12:33:50.6291  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/1/2023 9:33:50 AM }
