10:09:25.3719  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 7:09:25 AM }
10:09:36.2212  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/5/2023 7:09:36 AM }
11:11:08.5376  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/5/2023 8:11:08 AM }
11:15:42.7529  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 8:15:42 AM }
11:15:45.4170  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 8:15:45 AM }
11:15:50.9578  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 8:15:50 AM }
11:16:27.8140  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 8:16:27 AM }
11:16:58.5820  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 8:16:58 AM }
12:10:52.8364  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:10:52 AM }
12:11:25.8188  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:11:25 AM }
12:11:27.2015  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:11:27 AM }
12:11:31.3956  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:11:31 AM }
12:11:36.6509  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:11:36 AM }
12:26:23.2612  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:23 AM }
12:26:38.0516  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:38 AM }
12:26:41.9459  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:41 AM }
12:26:44.8112  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:44 AM }
12:26:52.0925  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:52 AM }
12:26:55.8400  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:26:55 AM }
12:27:13.7538  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:27:13 AM }
12:27:31.8587  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/5/2023 9:27:31 AM }
12:27:43.7520  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/5/2023 9:27:43 AM }
12:27:49.6970  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/5/2023 9:27:49 AM }
12:28:30.9153  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:28:30 AM }
12:28:42.1443  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:28:42 AM }
12:28:56.0929  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/5/2023 9:28:56 AM }
13:17:28.5050  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/5/2023 10:17:28 AM }
