09:29:20.8299  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-EP, CreatedAt = 9/7/2023 6:29:20 AM }
11:05:19.0006  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:05:18 AM }
11:06:08.4315  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:06:08 AM }
11:06:19.8496  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:06:19 AM }
11:08:35.6496  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:08:35 AM }
11:08:35.8462  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:08:35 AM }
11:08:35.8462  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:08:35 AM }
11:13:44.9381  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TEP, CreatedAt = 9/7/2023 8:13:44 AM }
11:14:24.4298  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:14:24 AM }
11:15:45.1704  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:15:45 AM }
11:16:01.9540  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:16:01 AM }
11:16:09.6933  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:16:09 AM }
11:16:12.2706  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:16:12 AM }
11:16:16.5114  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/7/2023 8:16:16 AM }
11:16:21.7207  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-TP, CreatedAt = 9/7/2023 8:16:21 AM }
11:16:29.8237  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/7/2023 8:16:29 AM }
11:17:04.7782  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/7/2023 8:17:04 AM }
11:17:05.3686  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/7/2023 8:17:05 AM }
11:18:34.7663  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 8:18:34 AM }
11:18:40.0003  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 8:18:39 AM }
11:19:03.9623  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:19:03 AM }
11:19:33.9670  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:19:33 AM }
11:20:56.6156  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:20:56 AM }
11:26:48.0125  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:26:47 AM }
11:27:54.2485  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:27:54 AM }
11:28:28.7840  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-T, CreatedAt = 9/7/2023 8:28:28 AM }
11:30:25.2331  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:30:25 AM }
11:30:43.3838  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:30:43 AM }
11:35:32.8418  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:35:32 AM }
11:38:08.8585  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:38:08 AM }
11:39:23.8574  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:39:23 AM }
11:39:23.8574  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 8:39:23 AM }
11:43:31.4754  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 8:43:31 AM }
11:44:36.9121  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:44:36 AM }
11:46:25.0337  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 8:46:25 AM }
12:08:46.1585  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:08:46 AM }
12:09:01.3693  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:09:01 AM }
12:09:03.5423  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:09:03 AM }
12:14:47.7507  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:14:47 AM }
12:15:01.9874  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:15:01 AM }
12:16:00.8246  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/7/2023 9:16:00 AM }
12:16:07.5584  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:16:07 AM }
12:16:09.3488  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:16:09 AM }
