09:22:18.1896  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/8/2023 6:22:18 AM }
09:22:25.8522  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/8/2023 6:22:25 AM }
09:31:12.7883  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/8/2023 6:31:12 AM }
12:22:40.0231  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-TE, CreatedAt = 9/8/2023 9:22:39 AM }
12:26:38.2444  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-TE, CreatedAt = 9/8/2023 9:26:38 AM }
12:32:54.0890  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 9:32:53 AM }
14:01:13.0579  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/8/2023 11:01:12 AM }
14:03:48.2010  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-E, CreatedAt = 9/8/2023 11:03:48 AM }
14:08:40.2933  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/8/2023 11:08:40 AM }
14:08:44.2555  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/8/2023 11:08:44 AM }
14:09:07.6750  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-TE, CreatedAt = 9/8/2023 11:09:07 AM }
14:10:01.9251  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-TE, CreatedAt = 9/8/2023 11:10:01 AM }
14:10:15.7066  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 11:10:15 AM }
14:10:27.5681  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 11:10:27 AM }
14:10:32.5454  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 11:10:32 AM }
14:10:33.6658  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 11:10:33 AM }
14:10:33.8229  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-T, CreatedAt = 9/8/2023 11:10:33 AM }
14:10:46.6090  WARN  LogDetails { Controller = User, Action = RegisterForWeb, ErrorCode = CE-E, CreatedAt = 9/8/2023 11:10:46 AM }
