11:37:49.8373  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = VE-E, CreatedAt = 9/13/2023 8:37:49 AM }
11:39:00.8657  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = VE-E, CreatedAt = 9/13/2023 8:39:00 AM }
11:46:32.4855  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = VE-E, CreatedAt = 9/13/2023 8:46:32 AM }
12:28:22.0380  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-TE, CreatedAt = 9/13/2023 9:28:21 AM }
12:31:35.4325  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/13/2023 9:31:35 AM }
12:39:03.0994  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-TE, CreatedAt = 9/13/2023 9:39:03 AM }
12:47:05.4206  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 9:47:05 AM }
12:47:42.1619  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 9:47:42 AM }
12:47:48.8726  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 9:47:48 AM }
12:48:00.3513  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/13/2023 9:48:00 AM }
15:21:07.8738  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-TE, CreatedAt = 9/13/2023 12:21:07 PM }
16:28:53.3382  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 1:28:53 PM }
16:39:15.7631  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 1:39:15 PM }
16:39:24.6601  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-E, CreatedAt = 9/13/2023 1:39:24 PM }
16:53:43.0931  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 1:53:43 PM }
16:58:15.0128  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 1:58:14 PM }
16:58:20.3453  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 1:58:20 PM }
16:58:23.9568  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 1:58:23 PM }
17:48:37.1261  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 2:48:37 PM }
17:50:47.8134  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 2:50:47 PM }
17:55:16.7676  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 2:55:16 PM }
17:57:42.6546  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 2:57:42 PM }
18:06:58.9785  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:06:58 PM }
18:08:07.2004  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:08:07 PM }
18:10:00.4897  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:10:00 PM }
18:14:23.7688  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:14:23 PM }
18:18:43.5764  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:18:43 PM }
18:19:03.7387  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:19:03 PM }
18:19:07.3949  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 3:19:07 PM }
18:19:14.5477  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-TE, CreatedAt = 9/13/2023 3:19:14 PM }
18:19:17.3423  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:19:17 PM }
18:19:23.3160  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-E, CreatedAt = 9/13/2023 3:19:23 PM }
18:23:23.6673  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:23:23 PM }
18:34:37.7332  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:34:37 PM }
18:35:08.8849  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:35:08 PM }
18:35:14.8278  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:35:14 PM }
18:35:29.1700  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:35:29 PM }
18:39:52.2671  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/13/2023 3:39:52 PM }
18:40:54.4755  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:40:54 PM }
18:42:08.2926  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:42:08 PM }
18:43:56.3692  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-E, CreatedAt = 9/13/2023 3:43:56 PM }
