11:33:25.2361  WARN  LogDetails { Controller = Machine, Action = GetSubCategoriesOfMainCategory, ErrorCode = NF-MC, CreatedAt = 9/15/2023 8:33:25 AM }
12:12:07.4254  WARN  LogDetails { Controller = Machine, Action = GetAllMachines, ErrorCode = NF_M, CreatedAt = 9/15/2023 9:12:07 AM }
12:12:28.7370  WARN  LogDetails { Controller = Machine, Action = GetAllMachines, ErrorCode = NF_M, CreatedAt = 9/15/2023 9:12:28 AM }
12:12:52.4747  WARN  LogDetails { Controller = Machine, Action = GetAllMachines, ErrorCode = NF_M, CreatedAt = 9/15/2023 9:12:52 AM }
15:24:36.8243  WARN  LogDetails { Controller = Machine, Action = GetAllMachines, ErrorCode = NF_M, CreatedAt = 9/15/2023 12:24:36 PM }
15:31:37.2984  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 12:31:37 PM }
15:55:56.9995  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = VE-MC, CreatedAt = 9/15/2023 12:55:56 PM }
15:56:14.6900  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = VE-MC, CreatedAt = 9/15/2023 12:56:14 PM }
15:56:44.6588  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = VE-MC, CreatedAt = 9/15/2023 12:56:44 PM }
16:00:13.7754  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:00:13 PM }
16:00:21.6063  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:00:21 PM }
16:05:15.3672  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:05:15 PM }
16:05:17.5459  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:05:17 PM }
16:05:18.1986  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:05:18 PM }
16:13:10.1502  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M, CreatedAt = 9/15/2023 1:13:10 PM }
18:04:08.5032  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-B, CreatedAt = 9/15/2023 3:04:08 PM }
18:04:59.0538  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-B, CreatedAt = 9/15/2023 3:04:59 PM }
18:10:14.9221  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 3:10:14 PM }
18:10:40.7392  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 3:10:40 PM }
18:10:48.0376  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 3:10:48 PM }
18:10:54.6412  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 3:10:54 PM }
18:16:06.2646  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/15/2023 3:16:06 PM }
18:19:51.4677  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/15/2023 3:19:51 PM }
18:20:32.2527  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/15/2023 3:20:32 PM }
18:22:52.2055  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/15/2023 3:22:52 PM }
18:23:47.7737  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-M, CreatedAt = 9/15/2023 3:23:47 PM }
