10:14:01.9176  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-C, CreatedAt = 9/16/2023 7:14:01 AM }
10:14:25.0653  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-C, CreatedAt = 9/16/2023 7:14:25 AM }
10:31:06.9850  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:31:06 AM }
10:32:15.5495  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:32:15 AM }
10:35:20.6383  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:35:20 AM }
10:50:35.0462  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:50:34 AM }
10:50:41.0274  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:50:41 AM }
10:50:45.4300  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 7:50:45 AM }
11:15:26.5824  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 8:15:26 AM }
11:15:43.6887  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-B, CreatedAt = 9/16/2023 8:15:43 AM }
11:16:03.1849  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-C, CreatedAt = 9/16/2023 8:16:03 AM }
11:16:09.0567  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 8:16:09 AM }
11:24:40.6020  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/16/2023 8:24:40 AM }
11:24:43.5118  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/16/2023 8:24:43 AM }
11:24:44.4645  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/16/2023 8:24:44 AM }
11:31:48.9493  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 8:31:48 AM }
11:32:56.3384  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 8:32:56 AM }
11:40:22.6462  WARN  LogDetails { Controller = Machine, Action = CreateMachine, ErrorCode = CE-M-M, CreatedAt = 9/16/2023 8:40:22 AM }
11:41:23.5382  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 8:41:23 AM }
11:42:15.3608  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-C, CreatedAt = 9/16/2023 8:42:15 AM }
