11:03:33.9848  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 8:03:33 AM }
11:04:46.4015  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/6/2023 8:04:46 AM }
11:13:33.8693  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 8:13:33 AM }
13:19:42.7722  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:19:42 AM }
13:24:17.2021  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 10:24:17 AM }
13:28:02.8984  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 10:28:02 AM }
13:28:40.3282  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 10:28:40 AM }
13:29:00.1521  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 10:29:00 AM }
13:47:04.2237  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:47:04 AM }
13:47:51.2612  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:47:51 AM }
13:53:34.4537  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:53:34 AM }
13:54:26.8554  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 10:54:26 AM }
13:54:59.6499  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:54:59 AM }
13:55:19.8169  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:55:19 AM }
13:55:35.5705  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:55:35 AM }
13:55:59.8196  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 10:55:59 AM }
14:32:44.2911  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:32:44 AM }
14:32:48.4073  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:32:48 AM }
14:33:15.8315  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:33:15 AM }
14:33:34.8775  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:33:34 AM }
14:34:07.5319  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:34:07 AM }
14:34:32.7516  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:34:32 AM }
14:34:51.0485  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:34:51 AM }
14:36:03.0980  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:36:03 AM }
14:37:10.6816  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:37:10 AM }
14:37:34.0798  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:37:34 AM }
14:37:47.9209  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:37:47 AM }
14:38:35.0324  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:38:35 AM }
14:38:59.7873  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:38:59 AM }
14:40:04.5406  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:40:04 AM }
14:40:14.9622  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 11:40:14 AM }
